year,price,mileage
2019,10.499,41.256
2014,5.588,109.664
2019,9.995,83.129
2016,8.695,63.399
2016,13.995,9.429
2015,5.799,143.481
2018,9.787,73.809
2013,6.799,97.186
2014,8.5,46
2015,9.895,73.642
2012,7.895,56.101
2019,10.995,38.345
2014,7.165,157.387
2017,7.888,125.768
2019,9.79,96.673
2011,4.952,147.067
2016,10.5,69.729
2019,12.755,60.069
2013,2.495,189.644
2011,7.499,80.218
2012,6.555,115
2019,12.977,62.999
2018,8.995,44.536
2018,12.397,44.88
2014,7.777,94.283
2015,6.999,136.258
2015,7.995,93.116
2019,18.392,38.587
2012,4.327,162.899
2019,13.299,29.617
2012,5.495,124.721
2017,11.699,66.406
2018,10.499,80.555
2016,9.995,75.005
2017,13.995,61.93
2019,10.495,91.2
2012,4.999,112.639
2018,10.995,28.482
2014,6.395,158.749
2015,7.495,89.475
2017,9.49,69.441
2015,7.995,72.383
2018,8.99,129.211
2017,8.494,67.735
2019,8.495,88.051
2012,5.995,92.328
2019,12.175,58.52
2015,8.99,80.76
